"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","5221","0.0-0.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","","","","","","","","","",""
"","","","","","instructions","1","8967","0.0-1.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":3748}]","3748","","","","","","","","",""
"","","","","","instructions","2","12860","0.0-2.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":3892}]","3892","","","","","","","","",""
"true","","","","","fullscreen","3","17249","0.0-3.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","3374","","","","","","","","",""
"","","","","","instructions","4","25228","0.0-4.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":7979}]","7979","","","","","","","","",""
"","","","","","instructions","5","32738","0.0-5.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":7507}]","7507","","","","","","","","",""
"","","","","","html-keyboard-response","6","36753","0.0-6.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","7","38429","0.0-7.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","1676","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","",""
"","","","","","html-keyboard-response","8","42434","0.0-8.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","9","43793","0.0-9.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","1358","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","",""
"","","","","","html-keyboard-response","10","47861","0.0-10.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","11","48728","0.0-11.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","866","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","",""
"","","","","","html-keyboard-response","12","52729","0.0-12.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","13","53686","0.0-13.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","957","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","",""
"","","","","","instructions","14","55448","0.0-14.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":1761}]","1761","","","","","","","","",""
"","","","","","html-keyboard-response","15","56459","0.0-15.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","<div style=""background-color: gray; width: 100vw; height: 100vh;""></div>","null","","","","","","",""
"","","","","","html-keyboard-response","16","61634","0.0-16.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","17","63053","0.0-17.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","1419","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","1","the_performance_causal","","","",""
"","","","","","html-keyboard-response","18","68289","0.0-18.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","19","69624","0.0-19.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","1334","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","2","the_performance_causal","","","",""
"","","","","","html-keyboard-response","20","74817","0.0-20.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_3.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","21","75960","0.0-21.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","1143","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_3.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","3","the_performance_causal","","","",""
"","","","","","html-keyboard-response","22","81393","0.0-22.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_4.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","23","84398","0.0-23.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_4.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","null","main_causal_task","4","the_performance_causal","","","",""
"","","","","","html-keyboard-response","24","89651","0.0-24.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_5.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","25","90422","0.0-25.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","771","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_5.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","5","the_performance_causal","","","",""
"","","","","","html-keyboard-response","26","95435","0.0-26.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_6.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","27","96145","0.0-27.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","710","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_6.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","6","the_performance_causal","","","",""
"","","","","","html-keyboard-response","28","101158","0.0-28.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_7.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","29","101641","0.0-29.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","483","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_7.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","7","the_performance_causal","","","",""
"","","","","","html-keyboard-response","30","106865","0.0-30.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_8.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","31","107401","0.0-31.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","536","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_8.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","8","the_performance_causal","","","",""
"","","","","","html-keyboard-response","32","112411","0.0-32.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_9.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","33","112921","0.0-33.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","510","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_9.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","9","the_performance_causal","","","",""
"","","","","","html-keyboard-response","34","114050","0.0-34.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","<div style=""background-color: gray; width: 100vw; height: 100vh;""></div>","null","","","","","","",""
"","","","","","html-keyboard-response","35","119056","0.0-35.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","36","119875","0.0-36.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","819","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","1","package_causal","","","",""
"","","","","","html-keyboard-response","37","124883","0.0-37.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","38","125965","0.0-38.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","1082","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","2","package_causal","","","",""
"","","","","","html-keyboard-response","39","131352","0.0-39.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","40","132272","0.0-40.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","921","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","3","package_causal","","","",""
"","","","","","html-keyboard-response","41","137285","0.0-41.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_4.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","42","137958","0.0-42.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","671","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_4.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","1","main_causal_task","4","package_causal","","","",""
"","","","","","html-keyboard-response","43","143515","0.0-43.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_5.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","44","144146","0.0-44.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","630","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_5.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","5","package_causal","","","",""
"","","","","","html-keyboard-response","45","149149","0.0-45.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_6.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","46","149606","0.0-46.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","457","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_6.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","6","package_causal","","","",""
"","","","","","html-keyboard-response","47","154609","0.0-47.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_7.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","48","155036","0.0-48.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","427","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_7.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","7","package_causal","","","",""
"","","","","","html-keyboard-response","49","160150","0.0-49.0","6AAB53D6615A4CDC9504ECEC82F7D7DD","019ce663-0aa1-7a30-abc5-d8afb53809f4","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_8.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
