"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","19513","0.0-0.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","","","","","","","","","",""
"","","","","","instructions","1","33422","0.0-1.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":13908}]","13908","","","","","","","","",""
"","","","","","instructions","2","43804","0.0-2.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":10382}]","10382","","","","","","","","",""
"true","","","","","fullscreen","3","72043","0.0-3.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","27228","","","","","","","","",""
"","","","","","instructions","4","88344","0.0-4.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":16299}]","16300","","","","","","","","",""
"","","","","","instructions","5","95647","0.0-5.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":7302}]","7302","","","","","","","","",""
"","","","","","html-keyboard-response","6","99664","0.0-6.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","7","102677","0.0-7.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","",""
"","","","","","html-keyboard-response","8","106695","0.0-8.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","9","107517","0.0-9.0","42166007888848DC85F1A0DFDF5645C8","019ce66c-09d2-7a1b-bbe2-c4e237e0b3e1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","820","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","",""
