"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","24992","0.0-0.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","","","","","","","","","",""
"","","","","","instructions","1","78594","0.0-1.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":53601}]","53601","","","","","","","","",""
"","","","","","instructions","2","89364","0.0-2.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":10768}]","10769","","","","","","","","",""
"true","","","","","fullscreen","3","107151","0.0-3.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","16772","","","","","","","","",""
"","","","","","instructions","4","120617","0.0-4.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":13466}]","13466","","","","","","","","",""
"","","","","","instructions","5","160634","0.0-5.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","[{""page_index"":0,""viewing_time"":40015}]","40016","","","","","","","","",""
"","","","","","html-keyboard-response","6","164650","0.0-6.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","7","167658","0.0-7.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","",""
"","","","","","html-keyboard-response","8","171672","0.0-8.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","9","173042","0.0-9.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","1369","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","",""
"","","","","","html-keyboard-response","10","177056","0.0-10.0","D83E82E51D1D4941BFC714BF7FD09432","019ce684-7a92-7f9b-984d-c82222b60ce1","019ce643-47c6-74a0-b3d2-7bf5651ded46","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
