"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","3083","0.0-0.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","","","","","","","","","","",""
"","","","","","instructions","1","13222","0.0-1.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","[{""page_index"":0,""viewing_time"":10137}]","10138","","","","","","","","",""
"","","","","","instructions","2","295072","0.0-2.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","[{""page_index"":0,""viewing_time"":281848}]","281849","","","","","","","","",""
"true","","","","","fullscreen","3","299233","0.0-3.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","","3142","","","","","","","","",""
"","","","","","instructions","4","301537","0.0-4.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","[{""page_index"":0,""viewing_time"":2303}]","2303","","","","","","","","",""
"","","","","","instructions","5","315426","0.0-5.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","[{""page_index"":0,""viewing_time"":13888}]","13889","","","","","","","","",""
"","","","","","html-keyboard-response","6","319439","0.0-6.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","7","321394","0.0-7.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","","1953","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","",""
"","","","","","html-keyboard-response","8","325404","0.0-8.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","9","327371","0.0-9.0","9060892AED46410BA5A5A42327AB920F","019ce76a-ff02-7d8e-a0ec-deaba026d3ff","019ce768-b048-7627-b827-888248f65c31","","1965","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","",""
