"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","8610","0.0-0.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","","","","","","","","","",""
"","","","","","instructions","1","13378","0.0-1.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":4768}]","4768","","","","","","","","",""
"","","","","","instructions","2","18642","0.0-2.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":5264}]","5264","","","","","","","","",""
"true","","","","","fullscreen","3","22399","0.0-3.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","2747","","","","","","","","",""
"","","","","","instructions","4","35073","0.0-4.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":12673}]","12673","","","","","","","","",""
"","","","","","instructions","5","53729","0.0-5.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":18656}]","18656","","","","","","","","",""
"","","","","","html-keyboard-response","6","57736","0.0-6.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","7","59949","0.0-7.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","2211","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","",""
"","","","","","html-keyboard-response","8","63956","0.0-8.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","9","66570","0.0-9.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","2613","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","",""
"","","","","","html-keyboard-response","10","70572","0.0-10.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","11","71534","0.0-11.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","962","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","",""
"","","","","","html-keyboard-response","12","75555","0.0-12.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","13","76406","0.0-13.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","850","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","",""
"","","","","","instructions","14","79628","0.0-14.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":3222}]","3222","","","","","","","","",""
"","","","","","html-keyboard-response","15","80640","0.0-15.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","<div style=""background-color: gray; width: 100vw; height: 100vh;""></div>","null","","","","","","",""
"","","","","","html-keyboard-response","16","85651","0.0-16.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","17","87826","0.0-17.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","2174","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","1","coin_causal","","","",""
"","","","","","html-keyboard-response","18","92835","0.0-18.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","19","93670","0.0-19.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","835","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","2","coin_causal","","","",""
"","","","","","html-keyboard-response","20","98677","0.0-20.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","21","99696","0.0-21.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","1018","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","3","coin_causal","","","",""
"","","","","","html-keyboard-response","22","104710","0.0-22.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","23","105194","0.0-23.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","483","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","4","coin_causal","","","",""
"","","","","","html-keyboard-response","24","110209","0.0-24.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_5.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","25","110708","0.0-25.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","499","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_5.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","5","coin_causal","","","",""
"","","","","","html-keyboard-response","26","115720","0.0-26.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","27","116181","0.0-27.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","460","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","6","coin_causal","","","",""
"","","","","","html-keyboard-response","28","121187","0.0-28.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_7.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","29","122088","0.0-29.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","901","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_7.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","1","main_causal_task","7","coin_causal","","","",""
"","","","","","html-keyboard-response","30","127097","0.0-30.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_8.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","31","127624","0.0-31.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","526","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_8.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","8","coin_causal","","","",""
"","","","","","html-keyboard-response","32","132631","0.0-32.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_9.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","33","133392","0.0-33.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","760","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/coin_causal/coin_causal_9.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","9","coin_causal","","","",""
"","","","","","html-keyboard-response","34","134403","0.0-34.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","<div style=""background-color: gray; width: 100vw; height: 100vh;""></div>","null","","","","","","",""
"","","","","","html-keyboard-response","35","139406","0.0-35.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_1.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","36","139906","0.0-36.0","788C0AAC8A924E98B0667144DE400B05","019ce7a9-df25-748c-b63f-bf178d48df3f","019ce7a0-0965-7aa7-a556-174d32a8e773","","499","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_1.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","1","saving_a_cat_causal","","","",""
