"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","50706","0.0-0.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","","","","","","","","","",""
"","","","","","instructions","1","83108","0.0-1.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":32400}]","32400","","","","","","","","",""
"","","","","","instructions","2","261442","0.0-2.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":178333}]","178333","","","","","","","","",""
"true","","","","","fullscreen","3","268806","0.0-3.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","6360","","","","","","","","",""
"","","","","","instructions","4","292752","0.0-4.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":23944}]","23945","","","","","","","","",""
"","","","","","instructions","5","307003","0.0-5.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":14250}]","14251","","","","","","","","",""
"","","","","","html-keyboard-response","6","311007","0.0-6.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","7","314011","0.0-7.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","",""
"","","","","","html-keyboard-response","8","318012","0.0-8.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","9","321014","0.0-9.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","",""
"","","","","","html-keyboard-response","10","325016","0.0-10.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","11","326631","0.0-11.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","1612","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","",""
"","","","","","html-keyboard-response","12","330633","0.0-12.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","",""
"","","","","","html-button-response","13","332056","0.0-13.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","1422","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","",""
"","","","","","instructions","14","340135","0.0-14.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","[{""page_index"":0,""viewing_time"":8078}]","8078","","","","","","","","",""
"","","","","","html-keyboard-response","15","341137","0.0-15.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","<div style=""background-color: gray; width: 100vw; height: 100vh;""></div>","null","","","","","","",""
"","","","","","html-keyboard-response","16","346139","0.0-16.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
"","","","","","html-button-response","17","348178","0.0-17.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","2038","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","1","the_performance_causal","","","",""
"","","","","","html-keyboard-response","18","353180","0.0-18.0","1B5454F7BC004B3C86B0AEA49931A297","019ce7b7-af67-7dd7-b49f-719bb0397f0e","019ce7a0-0965-7aa7-a556-174d32a8e773","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","",""
