"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","reward_type","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","4703","0.0-0.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","","","","","","","","","","",""
"","","","","","instructions","1","12457","0.0-1.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":7753}]","7753","","","","","","","","","",""
"","","","","","instructions","2","50506","0.0-2.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":38048}]","38048","","","","","","","","","",""
"true","","","","","fullscreen","3","54553","0.0-3.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","3033","","","","","","","","","",""
"","","","","","instructions","4","70002","0.0-4.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":15447}]","15448","","","","","","","","","",""
"","","","","","instructions","5","80655","0.0-5.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":10652}]","10653","","","","","","","","","",""
"","","","","","html-keyboard-response","6","84663","0.0-6.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","87088","0.0-7.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","2423","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","91104","0.0-8.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","92309","0.0-9.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","1204","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
"","","","","","html-keyboard-response","10","96318","0.0-10.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","11","97505","0.0-11.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","1185","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","",""
"","","","","","html-keyboard-response","12","101518","0.0-12.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","13","102605","0.0-13.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","1087","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","",""
"","","","","","instructions","14","104540","0.0-14.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":1934}]","1934","","","","","","","","","",""
"","","","","","html-keyboard-response","15","105557","0.0-15.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","<div style=""background-color: gray; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","16","110564","0.0-16.0","99816E3899E8466FB3E302768C3E65F3","019ce876-c0e0-7b19-bce7-45e007f5daa8","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","","",""
