"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","reward_type","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","5742","0.0-0.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","","","","","","","","","","","",""
"","","","","","instructions","1","8778","0.0-1.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":3035}]","3035","","","","","","","","","",""
"","","","","","instructions","2","31240","0.0-2.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":22460}]","22461","","","","","","","","","",""
"true","","","","","fullscreen","3","34126","0.0-3.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","","1884","","","","","","","","","",""
"","","","","","instructions","4","48784","0.0-4.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":14656}]","14657","","","","","","","","","",""
"","","","","","instructions","5","58364","0.0-5.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":9579}]","9579","","","","","","","","","",""
"","","","","","html-keyboard-response","6","62367","0.0-6.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","64566","0.0-7.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","","2196","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","68567","0.0-8.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","69959","0.0-9.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","","1390","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
"","","","","","html-keyboard-response","10","73960","0.0-10.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","11","76514","0.0-11.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","","2552","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","",""
"","","","","","html-keyboard-response","12","80516","0.0-12.0","7FF6E2C4C9DC45E689FA7D0A94C75E2A","019ce87f-bd08-744e-ba51-06c9cf072830","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
