"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","reward_type","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","372","0.0-0.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","","","","","","","","","","","",""
"","","","","","instructions","1","2172","0.0-1.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":1799}]","1799","","","","","","","","","",""
"","","","","","instructions","2","47011","0.0-2.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":44838}]","44838","","","","","","","","","",""
"true","","","","","fullscreen","3","49472","0.0-3.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","","1457","","","","","","","","","",""
"","","","","","instructions","4","50988","0.0-4.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":1516}]","1516","","","","","","","","","",""
"","","","","","instructions","5","52511","0.0-5.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":1522}]","1522","","","","","","","","","",""
"","","","","","html-keyboard-response","6","56513","0.0-6.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","59519","0.0-7.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","63519","0.0-8.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","66520","0.0-9.0","CF5EC965C8AF4814AD6710C96FAC6770","019ce87c-856e-7e10-a939-1952c2c7da36","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","",""
