"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","lucky_X","chosen_image_index"
"true","false","[]","[]","[]","preload","0","25434","0.0-0.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","","","","","","","","","","","",""
"","","","","","instructions","1","30322","0.0-1.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":4887}]","4887","","","","","","","","","",""
"","","","","","instructions","2","32539","0.0-2.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":2216}]","2216","","","","","","","","","",""
"true","","","","","fullscreen","3","34707","0.0-3.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","","1164","","","","","","","","","",""
"","","","","","instructions","4","43971","0.0-4.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":9263}]","9263","","","","","","","","","",""
"","","","","","instructions","5","53688","0.0-5.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":9717}]","9717","","","","","","","","","",""
"","","","","","html-keyboard-response","6","57691","0.0-6.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","59623","0.0-7.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","","1930","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","63624","0.0-8.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","64873","0.0-9.0","D9BAEA30CF5B4E659F76D3A2CFE0AA3D","019ced68-0b40-7986-8fe0-b8b1f7c56e2d","019ced5b-a949-71f1-af15-a7c629b18577","","1247","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
