"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","lucky_X","chosen_image_index","valuable_folder","neutral_folder","correct_choice"
"true","false","[]","[]","[]","preload","0","29120","0.0-0.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","","","","","","","","","","","","","",""
"","","","","","instructions","1","32768","0.0-1.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","[{""page_index"":0,""viewing_time"":3647}]","3647","","","","","","","","","","","","",""
"","","","","","instructions","2","89092","0.0-2.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","[{""page_index"":0,""viewing_time"":56324}]","56324","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","94743","0.0-3.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","4649","","","","","","","","","","","","",""
"","","","","","instructions","4","135721","0.0-4.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","[{""page_index"":0,""viewing_time"":40978}]","40978","","","","","","","","","","","","",""
"","","","","","instructions","5","154898","0.0-5.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","[{""page_index"":0,""viewing_time"":19177}]","19177","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","158899","0.0-6.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","7","161064","0.0-7.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","2164","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","",""
"","","","","","html-keyboard-response","8","165064","0.0-8.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","9","168065","0.0-9.0","B092DF5259EE4DDB99CC2984E9F3A5F5","019cede1-943e-7375-89d4-eae85492217c","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","","","","",""
