"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","correct_choice"
"true","false","[]","[]","[]","preload","0","63100","0.0-0.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","","","","","","","","","","","",""
"","","","","","instructions","1","111802","0.0-1.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","[{""page_index"":0,""viewing_time"":48702}]","48702","","","","","","","","","",""
"","","","","","instructions","2","240548","0.0-2.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","[{""page_index"":0,""viewing_time"":128743}]","128743","","","","","","","","","",""
"true","","","","","fullscreen","3","442554","0.0-3.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","","200972","","","","","","","","","",""
"","","","","","instructions","4","454715","0.0-4.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","[{""page_index"":0,""viewing_time"":12159}]","12159","","","","","","","","","",""
"","","","","","instructions","5","479934","0.0-5.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","[{""page_index"":0,""viewing_time"":25217}]","25217","","","","","","","","","",""
"","","","","","html-keyboard-response","6","483947","0.0-6.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","486884","0.0-7.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","","2937","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","490893","0.0-8.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","492250","0.0-9.0","5C4CFCDF55C9401EA3009A8BDE811A8C","019cef9f-935d-76ef-ab0b-de09b63d83b4","019cef87-c56d-7b55-9135-c5814367ec25","","1355","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
