"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","correct_choice"
"true","false","[]","[]","[]","preload","0","12923","0.0-0.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","","","","","","","","","","","",""
"","","","","","instructions","1","315436","0.0-1.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","[{""page_index"":0,""viewing_time"":302509}]","302511","","","","","","","","","",""
"","","","","","instructions","2","321782","0.0-2.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","[{""page_index"":0,""viewing_time"":6322}]","6324","","","","","","","","","",""
"true","","","","","fullscreen","3","327593","0.0-3.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","","4712","","","","","","","","","",""
"","","","","","instructions","4","334070","0.0-4.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","[{""page_index"":0,""viewing_time"":6473}]","6475","","","","","","","","","",""
"","","","","","instructions","5","338915","0.0-5.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","[{""page_index"":0,""viewing_time"":4842}]","4843","","","","","","","","","",""
"","","","","","html-keyboard-response","6","342926","0.0-6.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","345932","0.0-7.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","349942","0.0-8.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","351989","0.0-9.0","39B94E9CB35A4E098C92CDE687702238","019cefbe-1d01-7b02-a29f-c8b74b705e4c","019cef87-c56d-7b55-9135-c5814367ec25","","2043","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
