"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","68047","0.0-0.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","","","","","","","","","","","",""
"","","","","","instructions","1","72584","0.0-1.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":4534}]","4534","","","","","","","","","","",""
"","","","","","instructions","2","75774","0.0-2.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":3185}]","3185","","","","","","","","","","",""
"true","","","","","fullscreen","3","79260","0.0-3.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","2428","","","","","","","","","","",""
"","","","","","instructions","4","90590","0.0-4.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":11329}]","11330","","","","","","","","","","",""
"","","","","","instructions","5","98635","0.0-5.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":8043}]","8043","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","102637","0.0-6.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","105646","0.0-7.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","109648","0.0-8.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","111635","0.0-9.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","1971","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","115638","0.0-10.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","116733","0.0-11.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","1094","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","120735","0.0-12.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","13","121537","0.0-13.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","800","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","",""
"","","","","","instructions","14","125807","0.0-14.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":4268}]","4269","","","","","","","","","","",""
"","","","","","instructions","15","130836","0.0-15.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":5027}]","5028","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","131837","0.0-16.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","17","136839","0.0-17.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","18","137657","0.0-18.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","815","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","museum_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","19","142659","0.0-19.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","20","144166","0.0-20.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","1504","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","museum_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","21","149168","0.0-21.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","22","150222","0.0-22.0","BA6C1D9C43874C819E719BAB94A94A51","019cf01e-9b41-7ed6-baf6-6e1287269f81","019ceff9-9f67-7034-9722-02cda2445e09","","1053","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","museum_causal","causal_sequence","","","","",""
