"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","correct_choice","chosen_image_index","target_X"
"true","false","[]","[]","[]","preload","0","2819","0.0-0.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","","","","","","","","","","","",""
"","","","","","instructions","1","3959","0.0-1.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":1140}]","1140","","","","","","","","","","",""
"","","","","","instructions","2","6375","0.0-2.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":2415}]","2415","","","","","","","","","","",""
"true","","","","","fullscreen","3","8619","0.0-3.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","1239","","","","","","","","","","",""
"","","","","","instructions","4","16510","0.0-4.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":7890}]","7890","","","","","","","","","","",""
"","","","","","instructions","5","24367","0.0-5.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":7857}]","7857","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","28376","0.0-6.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","29599","0.0-7.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","1222","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","33600","0.0-8.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","34462","0.0-9.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","862","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","38477","0.0-10.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","38958","0.0-11.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","480","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","42970","0.0-12.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","13","43439","0.0-13.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","","468","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","",""
"","","","","","instructions","14","45246","0.0-14.0","A37D6C13BEC34DB69E7F039AEE2FE2D4","019cf08c-715d-78a3-ba86-c3fc01f768ea","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":1807}]","1807","","","","","","","","","","",""
