"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","9817","0.0-0.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","","","","","","","","","","","","",""
"","","","","","instructions","1","13410","0.0-1.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":3592}]","3593","","","","","","","","","","",""
"","","","","","instructions","2","24179","0.0-2.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":10769}]","10769","","","","","","","","","","",""
"true","","","","","fullscreen","3","696375","0.0-3.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","","671181","","","","","","","","","","",""
"","","","","","instructions","4","709017","0.0-4.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":12641}]","12641","","","","","","","","","","",""
"","","","","","instructions","5","781316","0.0-5.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":72299}]","72299","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","785323","0.0-6.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","788328","0.0-7.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","792329","0.0-8.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","792684","0.0-9.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","","354","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","796685","0.0-10.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","797151","0.0-11.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","","465","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","801154","0.0-12.0","7EC6EC9604A74DB4B503ED8DB5DFB91F","019cf0cb-c150-742d-9c88-73fc090fc04e","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
