"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","correct_choice","chosen_image_index","target_X"
"true","false","[]","[]","[]","preload","0","5436","0.0-0.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","","","","","","","","","","","","",""
"","","","","","instructions","1","7391","0.0-1.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":1951}]","1952","","","","","","","","","","",""
"","","","","","instructions","2","12904","0.0-2.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":5512}]","5513","","","","","","","","","","",""
"true","","","","","fullscreen","3","15423","0.0-3.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","","1507","","","","","","","","","","",""
"","","","","","instructions","4","36187","0.0-4.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":20760}]","20762","","","","","","","","","","",""
"","","","","","instructions","5","42539","0.0-5.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","[{""page_index"":0,""viewing_time"":6348}]","6348","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","46554","0.0-6.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","48499","0.0-7.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","","1932","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","52505","0.0-8.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","54293","0.0-9.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","","1786","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","58308","0.0-10.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","59105","0.0-11.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","","796","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","63118","0.0-12.0","9DAD85FEDA61443E9911A33CF3BD90C3","019cf0d7-00e1-7b78-84b3-16421a8c93a4","019cf037-5203-781a-b900-108ccb1cab86","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
