"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","7129","0.0-0.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","","","","","","","","","","","",""
"","","","","","instructions","1","91616","0.0-1.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","[{""page_index"":0,""viewing_time"":84482}]","84482","","","","","","","","","","",""
"","","","","","instructions","2","93487","0.0-2.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","[{""page_index"":0,""viewing_time"":1870}]","1870","","","","","","","","","","",""
"true","","","","","fullscreen","3","95574","0.0-3.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","1085","","","","","","","","","","",""
"","","","","","instructions","4","105521","0.0-4.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","[{""page_index"":0,""viewing_time"":9947}]","9947","","","","","","","","","","",""
"","","","","","instructions","5","125869","0.0-5.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","[{""page_index"":0,""viewing_time"":20347}]","20347","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","129870","0.0-6.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","131230","0.0-7.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","1358","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","135246","0.0-8.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","138251","0.0-9.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","142258","0.0-10.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","143060","0.0-11.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","801","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","147066","0.0-12.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","13","148331","0.0-13.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","1264","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","",""
"","","","","","instructions","14","149534","0.0-14.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","[{""page_index"":0,""viewing_time"":1202}]","1202","","","","","","","","","","",""
"","","","","","instructions","15","153719","0.0-15.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","[{""page_index"":0,""viewing_time"":4185}]","4185","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","154725","0.0-16.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","17","159727","0.0-17.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","18","160603","0.0-18.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","874","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","hotel_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","19","165610","0.0-19.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","20","166864","0.0-20.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","1253","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","2","hotel_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","21","171876","0.0-21.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","22","172244","0.0-22.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","367","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","hotel_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","23","177255","0.0-23.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","24","177682","0.0-24.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","426","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","hotel_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","25","182690","0.0-25.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","26","183972","0.0-26.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","1282","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","5","hotel_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","27","188974","0.0-27.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","28","189574","0.0-28.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","599","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","6","hotel_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","29","194587","0.0-29.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","30","194946","0.0-30.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","358","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","7","hotel_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","31","199957","0.0-31.0","F86A11484A2B4FD1A0C75F211240F6B6","019cf481-a2d7-7233-958e-de81af9c52f7","019cf064-09e4-79bc-8453-421c166e6722","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
