"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","3291","0.0-0.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","","","","","","","","","","","",""
"","","","","","instructions","1","9525","0.0-1.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","[{""page_index"":0,""viewing_time"":6233}]","6233","","","","","","","","","","",""
"","","","","","instructions","2","13088","0.0-2.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","[{""page_index"":0,""viewing_time"":3563}]","3563","","","","","","","","","","",""
"true","","","","","fullscreen","3","15823","0.0-3.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","1728","","","","","","","","","","",""
"","","","","","instructions","4","23670","0.0-4.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","[{""page_index"":0,""viewing_time"":7847}]","7847","","","","","","","","","","",""
"","","","","","instructions","5","30262","0.0-5.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","[{""page_index"":0,""viewing_time"":6590}]","6591","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","34263","0.0-6.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","37095","0.0-7.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","2830","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","22881","0.0-8.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","24095","0.0-9.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","1213","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","28106","0.0-10.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","28865","0.0-11.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","758","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","32869","0.0-12.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","13","33676","0.0-13.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","806","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","",""
"","","","","","instructions","14","35891","0.0-14.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","[{""page_index"":0,""viewing_time"":2214}]","2215","","","","","","","","","","",""
"","","","","","instructions","15","52758","0.0-15.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","[{""page_index"":0,""viewing_time"":16865}]","16866","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","53761","0.0-16.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","17","58774","0.0-17.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","18","59844","0.0-18.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","1069","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","19","64849","0.0-19.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","20","65563","0.0-20.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","713","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","21","70569","0.0-21.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","22","71598","0.0-22.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","1028","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","23","76609","0.0-23.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","24","77447","0.0-24.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","836","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","4","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","25","82456","0.0-25.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","26","83155","0.0-26.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","697","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","5","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","27","88170","0.0-27.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","28","88902","0.0-28.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","730","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","6","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","29","93912","0.0-29.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","30","94598","0.0-30.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","684","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","7","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","31","99615","0.0-31.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","32","102249","0.0-32.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","2632","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","8","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","33","107253","0.0-33.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","34","108792","0.0-34.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","1538","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","9","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","35","113795","0.0-35.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","36","114528","0.0-36.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","732","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","ten","saving_a_cat_causal","causal_sequence","","","","",""
"","","","","","html-keyboard-response","37","115533","0.0-37.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","38","120539","0.0-38.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","39","123549","0.0-39.0","8C82D2AF29D249A6B94CA6CAC28B99AD","019cf4fb-941b-7d69-80fa-c5f1d10fd4c2","019cf498-06e0-702e-b525-9cde1ad77653","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","null","main_experiment_trial","1","supermarket_scheme","schematic_sequence","","","","",""
