"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","13483","0.0-0.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","","","","","","","","","","","","",""
"","","","","","instructions","1","49177","0.0-1.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","[{""page_index"":0,""viewing_time"":35694}]","35694","","","","","","","","","","",""
"","","","","","instructions","2","75324","0.0-2.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","[{""page_index"":0,""viewing_time"":26148}]","26148","","","","","","","","","","",""
"true","","","","","fullscreen","3","77760","0.0-3.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","","1431","","","","","","","","","","",""
"","","","","","instructions","4","82227","0.0-4.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","[{""page_index"":0,""viewing_time"":4466}]","4466","","","","","","","","","","",""
"","","","","","instructions","5","87894","0.0-5.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","[{""page_index"":0,""viewing_time"":5666}]","5666","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","91896","0.0-6.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","94538","0.0-7.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","","2640","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","98540","0.0-8.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","100160","0.0-9.0","DF88B42018E1492E9BC194489E5597A8","019cf53b-cf14-7fdf-a12c-e4203c550ef4","019cf509-e3f1-72d9-bf6b-e2f1118fdaab","","1620","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","",""
