"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","correct_choice","chosen_image_index","target_X"
"true","false","[]","[]","[]","preload","0","7254","0.0-0.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","","","","","","","","","","","",""
"","","","","","instructions","1","23282","0.0-1.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","[{""page_index"":0,""viewing_time"":16028}]","16028","","","","","","","","","","",""
"","","","","","instructions","2","44259","0.0-2.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","[{""page_index"":0,""viewing_time"":20975}]","20976","","","","","","","","","","",""
"true","","","","","fullscreen","3","47057","0.0-3.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","1782","","","","","","","","","","",""
"","","","","","instructions","4","53299","0.0-4.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","[{""page_index"":0,""viewing_time"":6240}]","6240","","","","","","","","","","",""
"","","","","","instructions","5","63938","0.0-5.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","[{""page_index"":0,""viewing_time"":10638}]","10638","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","68333","0.0-6.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","69978","0.0-7.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","1644","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","74150","0.0-8.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","75099","0.0-9.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","948","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","79111","0.0-10.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","80098","0.0-11.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","987","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","84100","0.0-12.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","13","84723","0.0-13.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","621","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","",""
"","","","","","instructions","14","86794","0.0-14.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","[{""page_index"":0,""viewing_time"":2072}]","2072","","","","","","","","","","",""
"","","","","","instructions","15","97074","0.0-15.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","[{""page_index"":0,""viewing_time"":10279}]","10279","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","98094","0.0-16.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","17","103102","0.0-17.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","18","104306","0.0-18.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","1204","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","kitchen_operations_semantic","semantic_sequence","","","","",""
"","","","","","html-keyboard-response","19","109406","0.0-19.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","20","109948","0.0-20.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","540","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","2","kitchen_operations_semantic","semantic_sequence","","","","",""
"","","","","","html-keyboard-response","21","114949","0.0-21.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","22","115811","0.0-22.0","83DBFE11DC3D4AD6A9FDB0C15C10B4CA","019cf7c8-ecdb-7875-ba23-6e2c02947cfc","019cf7bd-52b9-7f96-9138-a5960b400b31","","862","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","kitchen_operations_semantic","semantic_sequence","","","","",""
