"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","8115","0.0-0.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","","","","","","","","","","","","",""
"","","","","","instructions","1","31568","0.0-1.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":23453}]","23453","","","","","","","","","","",""
"","","","","","instructions","2","35759","0.0-2.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":4190}]","4190","","","","","","","","","","",""
"true","","","","","fullscreen","3","41387","0.0-3.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","","4626","","","","","","","","","","",""
"","","","","","instructions","4","60523","0.0-4.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":19134}]","19134","","","","","","","","","","",""
"","","","","","instructions","5","65633","0.0-5.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":5109}]","5109","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","69709","0.0-6.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","72605","0.0-7.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","","2895","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","76606","0.0-8.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","79928","0.0-9.0","A84491FD56F94C5C97FB801DFEFABBAD","019cf80f-877b-75af-9d59-dda2cc5c076a","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","","",""
