"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","51255","0.0-0.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","","","","","","","","","","","",""
"","","","","","instructions","1","55601","0.0-1.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":4344}]","4344","","","","","","","","","","",""
"","","","","","instructions","2","58113","0.0-2.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":2509}]","2509","","","","","","","","","","",""
"true","","","","","fullscreen","3","71346","0.0-3.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","12213","","","","","","","","","","",""
"","","","","","instructions","4","95126","0.0-4.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":23780}]","23780","","","","","","","","","","",""
"","","","","","instructions","5","108064","0.0-5.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":12937}]","12938","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","112065","0.0-6.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","114815","0.0-7.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","2748","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","118816","0.0-8.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","119683","0.0-9.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","865","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","123686","0.0-10.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","124214","0.0-11.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","527","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","128220","0.0-12.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","13","129180","0.0-13.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","959","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","",""
"","","","","","instructions","14","130952","0.0-14.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":1771}]","1772","","","","","","","","","","",""
"","","","","","instructions","15","139930","0.0-15.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":8977}]","8977","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","140936","0.0-16.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","17","145941","0.0-17.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","18","146882","0.0-18.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","940","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","cat_care_semantic","semantic_sequence","","","","",""
"","","","","","html-keyboard-response","19","151889","0.0-19.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","20","152898","0.0-20.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","1008","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","2","cat_care_semantic","semantic_sequence","","","","",""
"","","","","","html-keyboard-response","21","157909","0.0-21.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","22","158364","0.0-22.0","66C79932EC414CBA86F0BDD4898E06B8","019cf80f-fd19-7e9d-b527-283e2847ce6f","019cf80d-4266-7117-8a51-54e13c84aca4","","454","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","cat_care_semantic","semantic_sequence","","","","",""
