"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","2911","0.0-0.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","","","","","","","","","","","","","",""
"","","","","","instructions","1","4352","0.0-1.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":1440}]","1440","","","","","","","","","","","",""
"","","","","","instructions","2","7553","0.0-2.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":3200}]","3201","","","","","","","","","","","",""
"true","","","","","fullscreen","3","9908","0.0-3.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","","1352","","","","","","","","","","","",""
"","","","","","instructions","4","12105","0.0-4.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":2196}]","2197","","","","","","","","","","","",""
"","","","","","instructions","5","13238","0.0-5.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":1133}]","1133","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","17250","0.0-6.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","20261","0.0-7.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","",""
"","","","","","html-keyboard-response","8","24269","0.0-8.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","27281","0.0-9.0","8355BBB7E35C49ACAC98CEA54C6D999B","019cf985-09df-7501-acef-0930b2facbf4","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","","","",""
