"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","15152","0.0-0.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","18149","0.0-1.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","[{""page_index"":0,""viewing_time"":2995}]","2995","","","","","","","","","","","","","",""
"","","","","","instructions","2","21319","0.0-2.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","[{""page_index"":0,""viewing_time"":3170}]","3170","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","23513","0.0-3.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","","1190","","","","","","","","","","","","","",""
"","","","","","instructions","4","28130","0.0-4.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","[{""page_index"":0,""viewing_time"":4616}]","4616","","","","","","","","","","","","","",""
"","","","","","instructions","5","32674","0.0-5.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","[{""page_index"":0,""viewing_time"":4543}]","4543","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","36687","0.0-6.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","37539","0.0-7.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","","845","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","41545","0.0-8.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","42169","0.0-9.0","1F80E33EC604473E8AFDDA54B650E902","019cfa6d-7057-71ff-8aba-4abb0312e146","019cfa3a-388e-72ab-ad58-bdeb258f96cd","","620","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","",""
