"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","7428","0.0-0.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","13140","0.0-1.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":5710}]","5711","","","","","","","","","","","","","",""
"","","","","","instructions","2","18327","0.0-2.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":5187}]","5187","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","21942","0.0-3.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","","2600","","","","","","","","","","","","","",""
"","","","","","instructions","4","34452","0.0-4.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":12509}]","12510","","","","","","","","","","","","","",""
"","","","","","instructions","5","45072","0.0-5.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":10619}]","10619","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","49086","0.0-6.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","52101","0.0-7.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","56103","0.0-8.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","59511","0.0-9.0","49853EBC9614460FA2B751254E4CC351","019cfc2b-1747-7664-896a-390a93610057","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","","","","","",""
