"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","4985","0.0-0.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","6476","0.0-1.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":1488}]","1488","","","","","","","","","","","","","",""
"","","","","","instructions","2","8541","0.0-2.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":2060}]","2061","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","10465","0.0-3.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","916","","","","","","","","","","","","","",""
"","","","","","instructions","4","12126","0.0-4.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":1658}]","1658","","","","","","","","","","","","","",""
"","","","","","instructions","5","13040","0.0-5.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":912}]","912","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","17045","0.0-6.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","18158","0.0-7.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","1110","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","22162","0.0-8.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","22827","0.0-9.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","663","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","26831","0.0-10.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","11","27483","0.0-11.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","648","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","",""
"","","","","","html-keyboard-response","12","31491","0.0-12.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","13","32375","0.0-13.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","881","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","","","",""
"","","","","","instructions","14","33836","0.0-14.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":1460}]","1460","","","","","","","","","","","","","",""
"","","","","","instructions","15","37130","0.0-15.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":3291}]","3291","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","42141","0.0-16.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","47151","0.0-17.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/redecorating_a_house_semantic/redecorating_a_house_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","18","50162","0.0-18.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/redecorating_a_house_semantic/redecorating_a_house_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","null","main_experiment_trial","1","redecorating_a_house_semantic","semantic_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","19","55171","0.0-19.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/redecorating_a_house_semantic/redecorating_a_house_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","20","56102","0.0-20.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","929","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/redecorating_a_house_semantic/redecorating_a_house_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","2","redecorating_a_house_semantic","semantic_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","21","61111","0.0-21.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/redecorating_a_house_semantic/redecorating_a_house_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","22","61918","0.0-22.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","806","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/redecorating_a_house_semantic/redecorating_a_house_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","redecorating_a_house_semantic","semantic_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","23","66920","0.0-23.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/redecorating_a_house_semantic/redecorating_a_house_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","24","68022","0.0-24.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","1100","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/redecorating_a_house_semantic/redecorating_a_house_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","4","redecorating_a_house_semantic","semantic_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","25","73033","0.0-25.0","971E31D8E7684EAE83C82A35E590421C","019cfc41-f6e1-74d7-a646-73966a6006fb","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/redecorating_a_house_semantic/redecorating_a_house_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
