"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","7917","0.0-0.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","45851","0.0-1.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","[{""page_index"":0,""viewing_time"":37933}]","37934","","","","","","","","","","","","","",""
"","","","","","instructions","2","48456","0.0-2.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","[{""page_index"":0,""viewing_time"":2604}]","2604","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","50944","0.0-3.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","1480","","","","","","","","","","","","","",""
"","","","","","instructions","4","63813","0.0-4.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","[{""page_index"":0,""viewing_time"":12867}]","12867","","","","","","","","","","","","","",""
"","","","","","instructions","5","69090","0.0-5.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","[{""page_index"":0,""viewing_time"":5277}]","5278","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","73100","0.0-6.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","75094","0.0-7.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","1990","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","79100","0.0-8.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","79992","0.0-9.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","890","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","84003","0.0-10.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","11","86085","0.0-11.0","403FEDA4B9F8400BA54A8C65B0F33CA5","019cfc9a-46b2-71d3-b4b2-f328ce2c49a0","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","2080","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","",""
