"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","38239","0.0-0.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","44229","0.0-1.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","[{""page_index"":0,""viewing_time"":5988}]","5989","","","","","","","","","","","","","",""
"","","","","","instructions","2","123592","0.0-2.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","[{""page_index"":0,""viewing_time"":79360}]","79361","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","127869","0.0-3.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","","3262","","","","","","","","","","","","","",""
"","","","","","instructions","4","152019","0.0-4.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","[{""page_index"":0,""viewing_time"":24147}]","24148","","","","","","","","","","","","","",""
"","","","","","instructions","5","171935","0.0-5.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","[{""page_index"":0,""viewing_time"":19914}]","19915","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","175945","0.0-6.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","178965","0.0-7.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","182974","0.0-8.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","184941","0.0-9.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","","1965","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","188954","0.0-10.0","AC8EDEA3615142C3928E4260B003D83E","019d0664-3a25-7980-85a0-92bb3fe3e5d9","019d0640-0a2d-7740-a972-9c73365b2dcb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
