"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","correct_choice","target_X","l_dist","r_dist","chosen_image_index","selected_after_X"
"true","false","[]","[]","[]","preload","0","21853","0.0-0.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","40316","0.0-1.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":18461}]","18462","","","","","","","","","","","","","","",""
"","","","","","instructions","2","58074","0.0-2.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":17756}]","17757","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","60958","0.0-3.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","1881","","","","","","","","","","","","","","",""
"","","","","","instructions","4","78993","0.0-4.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":18033}]","18033","","","","","","","","","","","","","","",""
"","","","","","instructions","5","94539","0.0-5.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":15545}]","15545","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","98543","0.0-6.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","100376","0.0-7.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","1831","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","104379","0.0-8.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","105194","0.0-9.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","813","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","109196","0.0-10.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","110523","0.0-11.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","1325","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","114526","0.0-12.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","13","115352","0.0-13.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","824","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","","","","",""
"","","","","","instructions","14","117331","0.0-14.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":1979}]","1979","","","","","","","","","","","","","","",""
"","","","","","instructions","15","121141","0.0-15.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":3809}]","3810","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","126144","0.0-16.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","131147","0.0-17.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","18","132281","0.0-18.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","1132","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","hotel_scheme","schematic_sequence","chronological","","","","","","","",""
"","","","","","html-keyboard-response","19","137283","0.0-19.0","981B57AC3B6E4421967CFEAF21561509","019d6659-470b-71b8-89a0-85b9e8f168cf","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/hotel_scheme/hotel_scheme_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
