"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","22445","0.0-0.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","283264","0.0-1.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":260818}]","260819","","","","","","","","","","","","","",""
"","","","","","instructions","2","294171","0.0-2.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":10906}]","10907","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","297800","0.0-3.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","2613","","","","","","","","","","","","","",""
"","","","","","instructions","4","349258","0.0-4.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":51457}]","51457","","","","","","","","","","","","","",""
"","","","","","instructions","5","368315","0.0-5.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":19056}]","19057","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","372320","0.0-6.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","375329","0.0-7.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","null","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","379342","0.0-8.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","380219","0.0-9.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","875","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","1","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","384236","0.0-10.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","11","384697","0.0-11.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","459","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","3","","","","","","","","","",""
"","","","","","html-keyboard-response","12","388701","0.0-12.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","13","389201","0.0-13.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","498","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","4","","","","","","","","","",""
"","","","","","instructions","14","393197","0.0-14.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":3995}]","3995","","","","","","","","","","","","","",""
"","","","","","instructions","15","411571","0.0-15.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":18373}]","18373","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","416576","0.0-16.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","421587","0.0-17.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","18","422555","0.0-18.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","966","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","19","427570","0.0-19.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","20","428313","0.0-20.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","742","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","21","433324","0.0-21.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","22","433876","0.0-22.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","551","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","23","438885","0.0-23.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","24","439437","0.0-24.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","550","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","25","444454","0.0-25.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","26","444886","0.0-26.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","431","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","5","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","27","449900","0.0-27.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","28","450361","0.0-28.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","460","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","6","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","29","455367","0.0-29.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","30","455832","0.0-30.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","464","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","7","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","31","460843","0.0-31.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","32","461500","0.0-32.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","655","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","8","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","33","466507","0.0-33.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","34","467078","0.0-34.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","570","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","9","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","35","472092","0.0-35.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","36","472454","0.0-36.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","360","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/household_objects_semantic/household_objects_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","ten","household_objects_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","37","477458","0.0-37.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","482473","0.0-38.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/transportation_semantic/transportation_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","39","483187","0.0-39.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","713","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/transportation_semantic/transportation_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","transportation_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","40","488202","0.0-40.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/transportation_semantic/transportation_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","41","488745","0.0-41.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","541","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/transportation_semantic/transportation_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","transportation_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","42","493762","0.0-42.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/transportation_semantic/transportation_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","43","494174","0.0-43.0","7DC5B1B27E2642A68A021F20C83FFC08","019d6b08-9015-7690-89f3-3a704878ef48","019d6ae6-5d89-74c6-b581-3918d1816346","","410","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/transportation_semantic/transportation_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","transportation_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
