"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","6881","0.0-0.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","22249","0.0-1.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":15367}]","15368","","","","","","","","","","","","","",""
"","","","","","instructions","2","24463","0.0-2.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":2213}]","2214","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","27582","0.0-3.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","2112","","","","","","","","","","","","","",""
"","","","","","instructions","4","30115","0.0-4.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":2532}]","2533","","","","","","","","","","","","","",""
"","","","","","instructions","5","31451","0.0-5.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":1336}]","1336","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","35461","0.0-6.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","38462","0.0-7.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","null","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","42464","0.0-8.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","44015","0.0-9.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","1551","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","1","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","48024","0.0-10.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","11","48633","0.0-11.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","608","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","3","","","","","","","","","",""
"","","","","","html-keyboard-response","12","52639","0.0-12.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","13","53021","0.0-13.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","381","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","4","","","","","","","","","",""
"","","","","","instructions","14","65835","0.0-14.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":12813}]","12814","","","","","","","","","","","","","",""
"","","","","","instructions","15","71585","0.0-15.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":5750}]","5750","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","76586","0.0-16.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","81600","0.0-17.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","18","82759","0.0-18.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","1159","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","19","87759","0.0-19.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","20","88679","0.0-20.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","919","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","21","93694","0.0-21.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","22","94227","0.0-22.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","532","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","23","99227","0.0-23.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","24","99777","0.0-24.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","549","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","25","104780","0.0-25.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","26","105524","0.0-26.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","744","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","5","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","27","110525","0.0-27.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","28","111082","0.0-28.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","557","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","6","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","29","116093","0.0-29.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","30","119109","0.0-30.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","null","main_experiment_trial","7","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","31","124118","0.0-31.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","32","126099","0.0-32.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","1980","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","8","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","33","131113","0.0-33.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","34","132645","0.0-34.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","1532","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","9","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","35","137645","0.0-35.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","36","139701","0.0-36.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","2055","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/clothing_semantic/clothing_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","ten","clothing_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","37","144709","0.0-37.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","149710","0.0-38.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","39","150739","0.0-39.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","1028","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","40","155743","0.0-40.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","41","156983","0.0-41.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","1240","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","42","161983","0.0-42.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","43","162914","0.0-43.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","931","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","44","167927","0.0-44.0","43A2E3CAB6394D7487FAF66113113D02","019d6b0d-275e-762a-b913-951ad847afb0","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
