"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","11491","0.0-0.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","442393","0.0-1.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":430900}]","430901","","","","","","","","","","","","","",""
"","","","","","instructions","2","445474","0.0-2.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":3081}]","3081","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","447766","0.0-3.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","","1281","","","","","","","","","","","","","",""
"","","","","","instructions","4","1164759","0.0-4.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":716992}]","716992","","","","","","","","","","","","","",""
"","","","","","instructions","5","1168559","0.0-5.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","[{""page_index"":0,""viewing_time"":3799}]","3800","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","1172574","0.0-6.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","1175001","0.0-7.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","","2424","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","1179011","0.0-8.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","1180171","0.0-9.0","94F584C90D2A48CDA5DDD462E19FDE6B","019d6b21-26f8-78ab-a483-3e3eabf6994c","019d6ae6-5d89-74c6-b581-3918d1816346","","1158","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","1","example_question","2","","","","","","","","","",""
