"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","4642","0.0-0.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","7065","0.0-1.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":2422}]","2422","","","","","","","","","","","","","",""
"","","","","","instructions","2","10281","0.0-2.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":3216}]","3216","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","13751","0.0-3.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","2465","","","","","","","","","","","","","",""
"","","","","","instructions","4","23099","0.0-4.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":9348}]","9348","","","","","","","","","","","","","",""
"","","","","","instructions","5","30866","0.0-5.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":7766}]","7766","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","34869","0.0-6.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","36715","0.0-7.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","1843","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","40717","0.0-8.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","41466","0.0-9.0","530515F3F3F44A0CB00ED37C46A247E4","019d6b48-b107-7a99-9a59-392c6f6d8edd","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","747","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","2","","","","","","","","","",""
