"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","6101","0.0-0.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","12683","0.0-1.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":6582}]","6582","","","","","","","","","","","","","",""
"","","","","","instructions","2","44905","0.0-2.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":32220}]","32220","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","49012","0.0-3.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","3091","","","","","","","","","","","","","",""
"","","","","","instructions","4","58909","0.0-4.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":9896}]","9896","","","","","","","","","","","","","",""
"","","","","","instructions","5","68652","0.0-5.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":9742}]","9742","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","72812","0.0-6.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","75207","0.0-7.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","2393","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","79274","0.0-8.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","79968","0.0-9.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","693","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","83969","0.0-10.0","19794541ED9D41A2B5F4BCEB13D7187C","019d6b54-d16a-7027-a7ce-10e674ddb3bb","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
