"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","2019","0.0-0.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","867256","0.0-1.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":865236}]","865236","","","","","","","","","","","","","",""
"","","","","","instructions","2","967543","0.0-2.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":100287}]","100287","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","971064","0.0-3.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","2519","","","","","","","","","","","","","",""
"","","","","","instructions","4","1073887","0.0-4.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":102822}]","102823","","","","","","","","","","","","","",""
"","","","","","instructions","5","1085144","0.0-5.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","[{""page_index"":0,""viewing_time"":11256}]","11256","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","1089145","0.0-6.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","1092148","0.0-7.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","null","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","1096149","0.0-8.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","1098143","0.0-9.0","3341F1296A454766A8E3BC48D7B5E50E","019d6b54-83a6-7437-b6cc-a310afa8b9b0","019d6b28-084c-76dd-a1cb-5ac041bdee9a","","1994","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","2","","","","","","","","","",""
