"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","1839","0.0-0.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","28886","0.0-1.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","[{""page_index"":0,""viewing_time"":27047}]","27047","","","","","","","","","","","","","",""
"","","","","","instructions","2","55753","0.0-2.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","[{""page_index"":0,""viewing_time"":30849}]","30849","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","59038","0.0-3.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","","2283","","","","","","","","","","","","","",""
"","","","","","instructions","4","81727","0.0-4.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","[{""page_index"":0,""viewing_time"":22689}]","22689","","","","","","","","","","","","","",""
"","","","","","instructions","5","89426","0.0-5.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","[{""page_index"":0,""viewing_time"":7698}]","7698","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","93431","0.0-6.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","94316","0.0-7.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","","884","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","98331","0.0-8.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","99166","0.0-9.0","D3B2FD66AF6D40D5A3887A9613DF114B","019dac5c-517b-70b5-8ed4-1da563a72958","019dac5b-243f-7307-af64-a10f53f1ef70","","835","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","",""
