"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","4344","0.0-0.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","","","","","","","","","","","","","",""
"","","","","","instructions","1","7949","0.0-1.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":3605}]","3605","","","","","","","","","","","",""
"","","","","","instructions","2","13317","0.0-2.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":5367}]","5367","","","","","","","","","","","",""
"true","","","","","fullscreen","3","15942","0.0-3.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","","1621","","","","","","","","","","","",""
"","","","","","instructions","4","20836","0.0-4.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":4893}]","4893","","","","","","","","","","","",""
"","","","","","instructions","5","22445","0.0-5.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":1608}]","1609","","","","","","","","","","","",""
"","","","","","html-button-response","6","24700","0.0-6.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","","2253","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","self_care_activities_semantic","","","","","","","",""
"","","","","","html-keyboard-response","7","32703","0.0-7.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","self_care_activities_semantic","semantic_sequence","4","neutral","","","","",""
"","","","","","html-keyboard-response","8","37706","0.0-8.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","39421","0.0-9.0","C15C09EAF043480BA6AAAC4B162B65EE","019db60e-d3a4-7e12-86b8-ea1a5dd586a2","019db609-2a35-76b9-807a-e0c4c153f4bb","","1713","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","visiting_cities_semantic","","","","","","","",""
