"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","10194","0.0-0.0","jazjozplfteplyk","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","27034","0.0-1.0","jazjozplfteplyk","","","[{""page_index"":0,""viewing_time"":16838}]","16839","","","","","","","","","","","","","",""
"","","","","","instructions","2","46210","0.0-2.0","jazjozplfteplyk","","","[{""page_index"":0,""viewing_time"":19167}]","19176","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","48720","0.0-3.0","jazjozplfteplyk","","","","1505","","","","","","","","","","","","","",""
"","","","","","instructions","4","65832","0.0-4.0","jazjozplfteplyk","","","[{""page_index"":0,""viewing_time"":17110}]","17111","","","","","","","","","","","","","",""
"","","","","","instructions","5","69131","0.0-5.0","jazjozplfteplyk","","","[{""page_index"":0,""viewing_time"":3298}]","3298","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","73133","0.0-6.0","jazjozplfteplyk","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","76136","0.0-7.0","jazjozplfteplyk","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","80139","0.0-8.0","jazjozplfteplyk","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","82365","0.0-9.0","jazjozplfteplyk","","","","2224","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","","","","",""
