"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","value","version","comparison_type","block_story","block_info","left_path","right_path"
"true","false","[]","[]","[]","preload","0","3544","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","","instructions","1","12749","0.0-1.0","[{""page_index"":0,""viewing_time"":9204}]","9204","","","","","","","","","","","","",""
"","","","","","instructions","2","39839","0.0-2.0","[{""page_index"":0,""viewing_time"":27090}]","27090","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","122804","0.0-3.0","","81963","","","","","","","","","","","","",""
"","","","","","instructions","4","129565","0.0-4.0","[{""page_index"":0,""viewing_time"":6760}]","6760","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","131568","0.0-5.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","136570","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","7","139574","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","null","observation","story_2","story","1","","","","","","",""
"","","","","","html-keyboard-response","8","144575","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","9","146765","0.0-9.0","","2189","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","story","2","","","","","","",""
"","","","","","html-keyboard-response","10","151767","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
