"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","value","version","comparison_type","block_story","block_info","left_path","right_path"
"true","false","[]","[]","[]","preload","0","918","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","","instructions","1","4124","0.0-1.0","[{""page_index"":0,""viewing_time"":3205}]","3205","","","","","","","","","","","","",""
"","","","","","instructions","2","11312","0.0-2.0","[{""page_index"":0,""viewing_time"":7187}]","7188","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","14626","0.0-3.0","","2296","","","","","","","","","","","","",""
"","","","","","instructions","4","27955","0.0-4.0","[{""page_index"":0,""viewing_time"":13327}]","13328","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","29963","0.0-5.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","34980","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","7","37986","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","null","observation","story_2","story","1","","","","","","",""
"","","","","","html-keyboard-response","8","42999","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","9","44830","0.0-9.0","","1829","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","story","2","","","","","","",""
"","","","","","html-keyboard-response","10","49837","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","11","51186","0.0-11.0","","1348","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","story","3","","","","","","",""
"","","","","","html-keyboard-response","12","56193","0.0-12.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","13","57075","0.0-13.0","","880","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","story","4","","","","","","",""
"","","","","","html-keyboard-response","14","62092","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","15","63191","0.0-15.0","","1097","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","story","5","","","","","","",""
"","","","","","html-keyboard-response","16","65195","0.0-16.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","70202","0.0-17.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","18","71753","0.0-18.0","","1550","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","info","1","","","","","","",""
