"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","value","version","comparison_type","left_path","right_path"
"true","false","[]","[]","[]","preload","0","3693","0.0-0.0","","","","","","","","","","","","",""
"","","","","","instructions","1","10022","0.0-1.0","[{""page_index"":0,""viewing_time"":6328}]","6328","","","","","","","","","","",""
"","","","","","instructions","2","11805","0.0-2.0","[{""page_index"":0,""viewing_time"":1782}]","1782","","","","","","","","","","",""
"true","","","","","fullscreen","3","13854","0.0-3.0","","1038","","","","","","","","","","",""
"","","","","","instructions","4","18820","0.0-4.0","[{""page_index"":0,""viewing_time"":4966}]","4966","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","20822","0.0-5.0","","null","<div class=""transition-square bg-info""><div>Fact</div></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","6","25831","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","7","27198","0.0-7.0","","1365","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","Fact","1","","","","",""
"","","","","","html-keyboard-response","8","32211","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","9","32653","0.0-9.0","","440","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","Fact","2","","","","",""
"","","","","","html-keyboard-response","10","37667","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","11","38518","0.0-11.0","","849","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","Fact","3","","","","",""
"","","","","","html-keyboard-response","12","43527","0.0-12.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","13","43990","0.0-13.0","","461","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","Fact","4","","","","",""
"","","","","","html-keyboard-response","14","48998","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","15","49501","0.0-15.0","","502","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","Fact","5","","","","",""
"","","","","","html-keyboard-response","16","51503","0.0-16.0","","null","<div class=""transition-square bg-story""><div>Story</div></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","17","56512","0.0-17.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","18","56997","0.0-18.0","","484","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","1","","","","",""
"","","","","","html-keyboard-response","19","62002","0.0-19.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","20","62407","0.0-20.0","","403","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","2","","","","",""
"","","","","","html-keyboard-response","21","67418","0.0-21.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","22","67870","0.0-22.0","","451","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","3","","","","",""
"","","","","","html-keyboard-response","23","72879","0.0-23.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","24","73254","0.0-24.0","","374","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","4","","","","",""
"","","","","","html-keyboard-response","25","78263","0.0-25.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
"","","","","","html-button-response","26","78766","0.0-26.0","","502","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","5","","","","",""
"","","","","","html-keyboard-response","27","80779","0.0-27.0","","null","<div class=""transition-square bg-story""><div>Story</div></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","28","85783","0.0-28.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","",""
