"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","order_direction","causality_condition","s1_index","s2_index","reward_condition","rewarded_folder","neutral_folder","rewarded_original_order","neutral_original_order","rewarded_causality","neutral_causality","chose_associated_reward"
"true","false","[]","[]","[]","preload","0","2437","0.0-0.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","42894","0.0-1.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","[{""page_index"":0,""viewing_time"":7463},{""page_index"":1,""viewing_time"":32993}]","40456","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","46825","0.0-2.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","2911","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","57329","0.0-3.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","[{""page_index"":0,""viewing_time"":10503}]","10504","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","59331","0.0-4.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""></div>","null","practice_S1","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","60331","0.0-5.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","62337","0.0-6.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""></div>","null","practice_S2","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-button-response","7","65341","0.0-7.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Was there a person in either of the images?</p>
                </div>
            </div>","null","practice_attention_check","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","66849","0.0-8.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","68855","0.0-9.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""></div>","null","practice_S1","museum_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","69861","0.0-10.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","71876","0.0-11.0","B1006C788BA04840913130A1204FF3B6","01a084b5-b773-7b78-89c3-edb14fa2eec0","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""></div>","null","practice_S2","museum_causal","","","","","","","","","","","",""
