"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","6153","0.0-0.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","41574","0.0-1.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":27429},{""page_index"":1,""viewing_time"":6886},{""page_index"":2,""viewing_time"":1104}]","35420","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","43973","0.0-2.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","1370","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","88178","0.0-3.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":44203}]","44204","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","121376","0.0-4.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","33192","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","122389","0.0-5.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","128579","0.0-6.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","6188","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","129582","0.0-7.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","135152","0.0-8.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5567","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","136164","0.0-9.0","EB9F9EAC4B5544F4BC1A278CD688D723","01a09176-8ab0-7803-b8ce-9ebb075951f6","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
