"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","8752","0.0-0.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","40289","0.0-1.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":24422},{""page_index"":1,""viewing_time"":4610},{""page_index"":2,""viewing_time"":2504}]","31536","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","43284","0.0-2.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","1981","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","58753","0.0-3.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":15468}]","15468","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","65420","0.0-4.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","6665","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","66423","0.0-5.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","72183","0.0-6.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5759","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","73198","0.0-7.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","78405","0.0-8.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5205","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","79407","0.0-9.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","84754","0.0-10.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5347","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","85770","0.0-11.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","instructions","12","99075","0.0-12.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":13304}]","13305","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","110365","0.0-13.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11290}]","11290","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","116625","0.0-14.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","6259","<div class=""stimulus-container""><img src=""images_value/Cause_13.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_cause","","13","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","117639","0.0-15.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","123682","0.0-16.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","6042","<div class=""stimulus-container""><img src=""images_value/Effect_13.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_effect","","13","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","124686","0.0-17.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","18","131127","0.0-18.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","6439","<div class=""stimulus-container""><img src=""images_value/Cause_02.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_cause","","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","132129","0.0-19.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","138481","0.0-20.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","6351","<div class=""stimulus-container""><img src=""images_value/Effect_02.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_effect","","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","139488","0.0-21.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","22","145243","0.0-22.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5754","<div class=""stimulus-container""><img src=""images_value/Cause_01.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_cause","","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","146248","0.0-23.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","24","151292","0.0-24.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5044","<div class=""stimulus-container""><img src=""images_value/Effect_01.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","1","encoding_effect","","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","152298","0.0-25.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","26","157883","0.0-26.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5584","<div class=""stimulus-container""><img src=""images_value/Cause_21.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_cause","","21","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","158887","0.0-27.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","28","164640","0.0-28.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5752","<div class=""stimulus-container""><img src=""images_value/Effect_21.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_effect","","21","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","165643","0.0-29.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","30","170892","0.0-30.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5247","<div class=""stimulus-container""><img src=""images_value/Cause_03.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_cause","","3","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","171907","0.0-31.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","32","176634","0.0-32.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","4726","<div class=""stimulus-container""><img src=""images_value/Effect_03.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_effect","","3","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","177646","0.0-33.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","34","183563","0.0-34.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5915","<div class=""stimulus-container""><img src=""images_value/Cause_10.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_cause","","10","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","184575","0.0-35.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","36","189957","0.0-36.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5382","<div class=""stimulus-container""><img src=""images_value/Effect_10.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_effect","","10","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","190974","0.0-37.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","38","196405","0.0-38.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5430","<div class=""stimulus-container""><img src=""images_value/Cause_08.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_cause","","8","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","197416","0.0-39.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","40","202689","0.0-40.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5271","<div class=""stimulus-container""><img src=""images_value/Effect_08.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_effect","","8","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","203705","0.0-41.0","6C2F6152D39B4D5CBFF0A1F81394A800","01a09175-c942-72ff-a953-844ed9593bcb","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
