"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","6195","0.0-0.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","33074","0.0-1.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":13739},{""page_index"":1,""viewing_time"":6936},{""page_index"":2,""viewing_time"":6204}]","26879","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","36693","0.0-2.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","2617","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","48428","0.0-3.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11734}]","11734","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","55046","0.0-4.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","6617","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","56051","0.0-5.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","61586","0.0-6.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5534","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","62601","0.0-7.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","68153","0.0-8.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5551","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","69163","0.0-9.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","77348","0.0-10.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","8184","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","78365","0.0-11.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","instructions","12","90028","0.0-12.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11663}]","11664","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","100858","0.0-13.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10829}]","10829","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","106310","0.0-14.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5452","<div class=""stimulus-container""><img src=""images_value/Cause_20.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_cause","","20","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","107319","0.0-15.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","112266","0.0-16.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","4947","<div class=""stimulus-container""><img src=""images_value/Effect_20.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_effect","","20","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","113276","0.0-17.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","18","118974","0.0-18.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","5697","<div class=""stimulus-container""><img src=""images_value/Cause_08.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","encoding_cause","","8","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","119982","0.0-19.0","DFFA1C8446A74119848623572D987F93","01a09175-db84-70a3-8555-58998295615b","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
