"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","54588","0.0-0.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","113002","0.0-1.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":16724},{""page_index"":1,""viewing_time"":24056},{""page_index"":2,""viewing_time"":17632}]","58412","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","117411","0.0-2.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","3407","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","128322","0.0-3.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10910}]","10910","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","143930","0.0-4.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","15607","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","144931","0.0-5.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","151834","0.0-6.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","6902","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","152834","0.0-7.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","159178","0.0-8.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","6342","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","160182","0.0-9.0","D966917B355A4E4DA9A62990D10DDC93","01a09175-c669-789a-ae4b-b68702a555c9","01a09173-911e-7b66-a4de-d49571965b70","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
