"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","17270","0.0-0.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","31671","0.0-1.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10677},{""page_index"":1,""viewing_time"":2291},{""page_index"":2,""viewing_time"":1430}]","14399","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","38258","0.0-2.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","","5563","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","51887","0.0-3.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":13628}]","13628","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","69441","0.0-4.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","","17552","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","70445","0.0-5.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","80219","0.0-6.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","","9772","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","81234","0.0-7.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","89555","0.0-8.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","","8319","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image or as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","90565","0.0-9.0","9F080C19E9524C9BA05B35E7E1F77C31","01a091b1-eae4-7a2d-a678-e91e019a1ddf","01a091b1-9978-7d49-be34-e6cf9b215e02","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
