"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","4988","0.0-0.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","35158","0.0-1.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11032},{""page_index"":1,""viewing_time"":15192},{""page_index"":2,""viewing_time"":3944}]","30169","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","37478","0.0-2.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","1318","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","48142","0.0-3.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10663}]","10663","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","62445","0.0-4.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","14302","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","63451","0.0-5.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","77102","0.0-6.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","13650","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","78107","0.0-7.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","85974","0.0-8.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","7866","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","86975","0.0-9.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","92422","0.0-10.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","5446","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","93424","0.0-11.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","104518","0.0-12.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11094}]","11094","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","115238","0.0-13.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10720}]","10720","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","122294","0.0-14.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","7054","<div class=""stimulus-container""><img src=""images_value/Cause_05.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","5","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","123307","0.0-15.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","128870","0.0-16.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","5562","<div class=""stimulus-container""><img src=""images_value/Effect_05.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","encoding_effect","","5","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","129872","0.0-17.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","18","137534","0.0-18.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","7661","<div class=""stimulus-container""><img src=""images_value/Cause_07.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","7","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","138541","0.0-19.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","146479","0.0-20.0","4A98BBCB90584E42AC870EA8ECEB05FC","01a091d8-0a7c-71ac-b084-924ecff75fcd","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","7937","<div class=""stimulus-container""><img src=""images_value/Effect_07.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","7","","","","","","","","","","","",""
