"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","80702","0.0-0.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","111737","0.0-1.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":20320},{""page_index"":1,""viewing_time"":7830},{""page_index"":2,""viewing_time"":2881}]","31031","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","115235","0.0-2.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","2487","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","133898","0.0-3.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":18662}]","18662","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","170581","0.0-4.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","36682","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","171598","0.0-5.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","183697","0.0-6.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","12098","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","184702","0.0-7.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","199426","0.0-8.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","14722","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","200427","0.0-9.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","212280","0.0-10.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","11852","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","213287","0.0-11.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","226122","0.0-12.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12835}]","12835","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","237765","0.0-13.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11642}]","11642","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","249467","0.0-14.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","11702","<div class=""stimulus-container""><img src=""images_value/Cause_11.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","11","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","250473","0.0-15.0","6D78C05946F4444EA1BB58FAF05FD881","01a091d8-1964-7171-9825-11ebf7aef4a7","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
