"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","4564","0.0-0.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","143245","0.0-1.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":16077},{""page_index"":1,""viewing_time"":72667},{""page_index"":2,""viewing_time"":49924}]","138679","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","149222","0.0-2.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","4945","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","164094","0.0-3.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":14871}]","14871","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","180111","0.0-4.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","16008","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","181115","0.0-5.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","191890","0.0-6.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","10774","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","192897","0.0-7.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","205571","0.0-8.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","12672","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","206586","0.0-9.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","218837","0.0-10.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","12249","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","219841","0.0-11.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","232447","0.0-12.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12605}]","12606","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","245377","0.0-13.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12929}]","12930","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","255152","0.0-14.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","9773","<div class=""stimulus-container""><img src=""images_value/Cause_24.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","24","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","256159","0.0-15.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","264489","0.0-16.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","8323","<div class=""stimulus-container""><img src=""images_value/Effect_24.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","24","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","265491","0.0-17.0","FD80E4A8EA2747668FC922F7E88058D7","01a091d8-3c53-7f44-829b-58e297346afa","01a091d7-44e8-7e08-a70b-c8faf3d5e2ea","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
