"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","3744","0.0-0.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","19187","0.0-1.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11798},{""page_index"":1,""viewing_time"":2433},{""page_index"":2,""viewing_time"":1212}]","15443","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","22749","0.0-2.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","2551","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","34804","0.0-3.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12053}]","12054","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","47307","0.0-4.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","12501","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","48314","0.0-5.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","54620","0.0-6.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","6304","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","55625","0.0-7.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","62070","0.0-8.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","6442","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","63082","0.0-9.0","D7E9AA73B76B4B0EA05134E905F58E40","01a093bd-e94f-7095-8df4-90a48bebe6c9","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
