"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","14590","0.0-0.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","104103","0.0-1.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":13618},{""page_index"":1,""viewing_time"":73079},{""page_index"":2,""viewing_time"":2808}]","89507","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","108139","0.0-2.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","3018","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","120261","0.0-3.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12120}]","12121","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","131933","0.0-4.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","11667","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","132943","0.0-5.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","139864","0.0-6.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","6918","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","140870","0.0-7.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","148686","0.0-8.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","7811","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","149693","0.0-9.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","155265","0.0-10.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","5568","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","156277","0.0-11.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","168239","0.0-12.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11958}]","11960","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","180619","0.0-13.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12378}]","12378","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","186573","0.0-14.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","5948","<div class=""stimulus-container""><img src=""images_value/Effect_03.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","encoding_effect","","3","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","187575","0.0-15.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","198212","0.0-16.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","10633","<div class=""stimulus-container""><img src=""images_value/Cause_03.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","3","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","199229","0.0-17.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","18","205054","0.0-18.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","5821","<div class=""stimulus-container""><img src=""images_value/Effect_22.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","22","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","206064","0.0-19.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","212144","0.0-20.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","6077","<div class=""stimulus-container""><img src=""images_value/Cause_22.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","22","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","213157","0.0-21.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","22","221516","0.0-22.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","8355","<div class=""stimulus-container""><img src=""images_value/Effect_06.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","6","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","222531","0.0-23.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","24","228528","0.0-24.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","5994","<div class=""stimulus-container""><img src=""images_value/Cause_06.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","6","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","229545","0.0-25.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","26","235068","0.0-26.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","5520","<div class=""stimulus-container""><img src=""images_value/Effect_20.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","20","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","236077","0.0-27.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","28","241795","0.0-28.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","5716","<div class=""stimulus-container""><img src=""images_value/Cause_20.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","20","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","242808","0.0-29.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","30","248419","0.0-30.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","5610","<div class=""stimulus-container""><img src=""images_value/Effect_07.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","7","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","249435","0.0-31.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","32","254479","0.0-32.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","5039","<div class=""stimulus-container""><img src=""images_value/Cause_07.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","7","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","255493","0.0-33.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","34","261173","0.0-34.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","5678","<div class=""stimulus-container""><img src=""images_value/Effect_01.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","encoding_effect","","1","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","262177","0.0-35.0","0EE62F2BF6E549CDB5AA8F1585147D63","01a093c0-3c01-7a5a-a4b5-5bed3aa8b142","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
