"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","6895","0.0-0.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","25402","0.0-1.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11534},{""page_index"":1,""viewing_time"":3649},{""page_index"":2,""viewing_time"":3322}]","18506","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","28107","0.0-2.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","1702","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","56266","0.0-3.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":28157}]","28158","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","67374","0.0-4.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","11103","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","68376","0.0-5.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","79027","0.0-6.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","10649","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","80029","0.0-7.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","89390","0.0-8.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","9359","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","90392","0.0-9.0","9EAE16E6706F44A3AB5DD6AEF3F657B0","01a093cd-3aea-740c-8c1e-dc4bf17fd8a7","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
