"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","82929","0.0-0.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","131063","0.0-1.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12942},{""page_index"":1,""viewing_time"":18047},{""page_index"":2,""viewing_time"":17143}]","48133","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","139883","0.0-2.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","7807","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","156861","0.0-3.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":16976}]","16977","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","217455","0.0-4.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","60589","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","218464","0.0-5.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","240201","0.0-6.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","21735","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","241205","0.0-7.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","273149","0.0-8.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","31942","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","274156","0.0-9.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","301731","0.0-10.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","27572","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","302747","0.0-11.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","380398","0.0-12.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":77649}]","77649","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","406624","0.0-13.0","E052E681EB1A40519E79A7271A7A95E4","01a093bd-e72c-7aab-978f-5cdcf5a57636","01a093bc-e39d-7ec8-b466-9b66dad55cd7","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":26226}]","26226","","","","","","","","","","","","","","","","",""
