"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","10852","0.0-0.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","258076","0.0-1.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","[{""page_index"":0,""viewing_time"":241920},{""page_index"":1,""viewing_time"":2740},{""page_index"":2,""viewing_time"":2559}]","247224","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","260966","0.0-2.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","1886","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","278052","0.0-3.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","[{""page_index"":0,""viewing_time"":17083}]","17085","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","295323","0.0-4.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","17266","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","296325","0.0-5.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","301980","0.0-6.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","5652","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","302984","0.0-7.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","308144","0.0-8.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","5155","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","309148","0.0-9.0","DB37B96098314667BE2ECED5B62C0029","01a095e8-b7e9-7d13-bc9d-882ac9716a34","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
