"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","8803","0.0-0.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","35578","0.0-1.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","[{""page_index"":0,""viewing_time"":10960},{""page_index"":1,""viewing_time"":8964},{""page_index"":2,""viewing_time"":6850}]","26774","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","39522","0.0-2.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","2938","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","50271","0.0-3.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","[{""page_index"":0,""viewing_time"":10746}]","10746","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","62042","0.0-4.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","11771","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","63048","0.0-5.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","70207","0.0-6.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","7156","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","71213","0.0-7.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","77577","0.0-8.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","6362","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","78584","0.0-9.0","C5D852D9158B40C7940D1F4B8AB9DA66","01a095ed-58e6-7874-b903-f6e471b44d66","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
