"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","5988","0.0-0.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","29471","0.0-1.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","[{""page_index"":0,""viewing_time"":11522},{""page_index"":1,""viewing_time"":8855},{""page_index"":2,""viewing_time"":3105}]","23482","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","32625","0.0-2.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","2151","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","43416","0.0-3.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","[{""page_index"":0,""viewing_time"":10790}]","10790","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","51633","0.0-4.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","8216","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","52650","0.0-5.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","59616","0.0-6.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","6966","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","60629","0.0-7.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","70329","0.0-8.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","9699","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","71335","0.0-9.0","FF7C1BA58CF245CCA74BA4EACF9D984A","01a09602-7209-7df9-a16e-ac74198031fe","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
