"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","5416","0.0-0.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","24108","0.0-1.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12571},{""page_index"":1,""viewing_time"":3421},{""page_index"":2,""viewing_time"":2699}]","18692","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","26860","0.0-2.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","1749","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","38566","0.0-3.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11706}]","11706","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","53153","0.0-4.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","14586","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","54155","0.0-5.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","59791","0.0-6.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5635","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","60793","0.0-7.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","68244","0.0-8.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","7449","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","69245","0.0-9.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","74471","0.0-10.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5224","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","75473","0.0-11.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","86490","0.0-12.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11017}]","11017","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","97327","0.0-13.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10836}]","10837","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","102819","0.0-14.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5490","<div class=""stimulus-container""><img src=""images_value/Cause_10.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","10","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","103821","0.0-15.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","109223","0.0-16.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5400","<div class=""stimulus-container""><img src=""images_value/Effect_10.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","10","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","110225","0.0-17.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","18","115428","0.0-18.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5202","<div class=""stimulus-container""><img src=""images_value/Cause_21.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","21","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","116430","0.0-19.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","122123","0.0-20.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5691","<div class=""stimulus-container""><img src=""images_value/Effect_21.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","21","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","123124","0.0-21.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","22","128335","0.0-22.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5209","<div class=""stimulus-container""><img src=""images_value/Cause_23.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","23","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","129336","0.0-23.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","24","134494","0.0-24.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5157","<div class=""stimulus-container""><img src=""images_value/Effect_23.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","encoding_effect","","23","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","135496","0.0-25.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","26","140693","0.0-26.0","6B3DF04DE00E4796B85EB4E757CC08C8","01a0b640-06c4-716e-978e-ba38b0462e8e","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5196","<div class=""stimulus-container""><img src=""images_value/Cause_08.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","8","","","","","","","","","","","",""
