"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","6795","0.0-0.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","55662","0.0-1.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":16441},{""page_index"":1,""viewing_time"":22610},{""page_index"":2,""viewing_time"":9815}]","48866","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","58599","0.0-2.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","1893","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","70111","0.0-3.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11511}]","11512","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","82898","0.0-4.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","12785","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","83912","0.0-5.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","91723","0.0-6.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","7809","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","92725","0.0-7.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","99604","0.0-8.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","6878","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","100608","0.0-9.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","107165","0.0-10.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","6555","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","108167","0.0-11.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","119869","0.0-12.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11702}]","11702","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","168839","0.0-13.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":48969}]","48969","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","175201","0.0-14.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","6360","<div class=""stimulus-container""><img src=""images_value/Cause_07.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","7","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","176210","0.0-15.0","2F9ECA9679C74ECB8A27778911EFEDF7","01a0b640-242b-78f3-be65-e0b4f43fed8b","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
