"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","5428","0.0-0.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","20355","0.0-1.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11365},{""page_index"":1,""viewing_time"":1998},{""page_index"":2,""viewing_time"":1564}]","14927","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","23141","0.0-2.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","1784","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","37305","0.0-3.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":14164}]","14164","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","54941","0.0-4.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","17635","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","55942","0.0-5.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","63150","0.0-6.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","7208","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","64162","0.0-7.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","70326","0.0-8.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","6163","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","71336","0.0-9.0","E293463E980442149DE77E1BACEBFF63","01a0b643-39c9-73a1-84ae-7e1eaf832470","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
