"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","8833","0.0-0.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","72269","0.0-1.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":13484},{""page_index"":1,""viewing_time"":29752},{""page_index"":2,""viewing_time"":20198}]","63434","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","77261","0.0-2.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","3987","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","94973","0.0-3.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":17709}]","17710","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","103971","0.0-4.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","8991","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","104974","0.0-5.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","115488","0.0-6.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","10511","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","116491","0.0-7.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","127303","0.0-8.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","10808","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","128306","0.0-9.0","EADACD15C0F448918BDAF534C55F0D64","01a0b640-98c6-7b42-8070-9849482bd22f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
