"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","6494","0.0-0.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","311684","0.0-1.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":299931},{""page_index"":1,""viewing_time"":3045},{""page_index"":2,""viewing_time"":2212}]","305189","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","314550","0.0-2.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","1835","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","375538","0.0-3.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":60987}]","60987","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","384550","0.0-4.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","9007","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","385564","0.0-5.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","394401","0.0-6.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","8835","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","395405","0.0-7.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","401833","0.0-8.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","6426","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","402841","0.0-9.0","3BEFC931BA1E4DA8A8BD2B80B2F74A82","01a0b640-3ba9-7924-a428-501002e3276f","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
