"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","6700","0.0-0.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","290792","0.0-1.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":134780},{""page_index"":1,""viewing_time"":2908},{""page_index"":2,""viewing_time"":3379}]","141067","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","292893","0.0-2.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","1098","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","303562","0.0-3.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10668}]","10668","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","313784","0.0-4.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","10220","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","314787","0.0-5.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","324459","0.0-6.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","9670","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","325461","0.0-7.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","332068","0.0-8.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","6605","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","333071","0.0-9.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","338114","0.0-10.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5041","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","339116","0.0-11.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","350270","0.0-12.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11153}]","11154","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","361012","0.0-13.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10740}]","10741","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","366930","0.0-14.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5917","<div class=""stimulus-container""><img src=""images_value/Cause_13.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","encoding_cause","","13","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","367933","0.0-15.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","373276","0.0-16.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5342","<div class=""stimulus-container""><img src=""images_value/Effect_13.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","encoding_effect","","13","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","374279","0.0-17.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","18","379554","0.0-18.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5274","<div class=""stimulus-container""><img src=""images_value/Cause_24.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","encoding_cause","","24","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","380556","0.0-19.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","385375","0.0-20.0","6BA9717E96F744B4B8409E5506817539","01a0b641-e9c8-7a79-912b-7f35d1fd183d","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","4818","<div class=""stimulus-container""><img src=""images_value/Effect_24.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","encoding_effect","","24","","","","","","","","","","","",""
